unit_id	label	text_nl	text_en	source
SU_0003	Mutsje	Inhoudsmaat, 1⁄8 mingelen, circa 150 centiliter.	Measure of volume 1⁄8 mingelen, about 150 centiliters.	(Kooijmans and Schooneveld-Oosterling 2000, 79)
SU_0003	Mutsje	Inhoudsmaat natte waren, speciaal voor jenever: 1/8 mengel.		(Verhoeff 1983, 116)
SU_0007	Bahar	Inlandse inhoudsmaat, bevattende ongeveer 500 Amsterdams pond specerijen; het gewicht was afhankelijk van de soortelijke zwaarte. Als gewichtseenheid elders meestal 3 pikol of 375 pond. Op de Molukken bij het afwegen der kruidnagels werd de Portugese bahar gebruikt, 550 Hollandse pond.		(Kooijmans and Schooneveld-Oosterling 2000, 15)
SU_0007	Bahar	Vanuit het Sanskrit, bahara, gewichtsmaat; een inlandse maat door heel zuidoost Azië gebruikt, 1 bahar = 3 pikul, of 170 kilo, of 375 Hollandse pond; varieerde van plaats tot plaats, was ongeveer 180 kilo peper en 272 kilo kruidnagel, maar 7.25 kilo voor goud. In de Molukken werd de Portugese bahar gebruikt met een equivalent van 550 Amsterdamse pond, en de Javaanse bahar was 220 pond.	From Sanskrit, bahara, weight; a measure of weight widely used in Southeast Asia, 1 bahar = 3 pikul, or 170 kilograms, or 375 Dutch pounds; varying from place to place, but approximately 180 kilograms for pepper and 272 kilograms for cloves, but 7.25 kilograms when weighing gold. In the Moluccos Portuguese bahar was used with the equivalent of 550 Amsterdam pounds, a Javanese bahar was 220 pounds.	(Lohanda et al. 2018, 22)
SU_0011	Pond (VOC)	GM2: gewicht; het Amsterdamse of Trooise (van Troyes) was 0,494 kilogram, het Delftse, Antwerpse of Brabantse 0,4697 kilogram, het Keulse 0,4677 kilogram. K: het Amsterdamse pond (lb.) diende als basisgewicht.	Measure of weight. The Amsterdam or Trooise (from Troyes) pound was 0.494 kilogrammes, the Delft, Antwerp or Brabantine pound were 0.4697 kilogrammes, the Cologne pount 0.4677 kilogram. The Amsterdam pound served as a standard weight.	(Kooijmans and Schooneveld-Oosterling 2000, 92)
SU_0011	Pond (VOC)	Gewicht: a) 16 ons, in waarde varierend van ca. 430 gram (Gents pond) tot 494 gram (Amsterdams waaggewicht). b) medicinaal pond: 12 ons.		(Verhoeff 1983, 119)
SU_0012	Pond (Engels)	Gewichtseenheid, 9/20 kilogram.	Measure of weight. 9/20 of a kilogram	(Kooijmans and Schooneveld-Oosterling 2000, 92)
SU_0014	Kan	Basisinhoudsmaat voor vloeistof, 1,51 liter.		(Kooijmans and Schooneveld-Oosterling 2000, 58)
SU_0020	Cojang	Inheemse maat in de Archipel, hoofdzakelijk gebruikt als rijstmaat, maar ook om het laadvermogen van vaartuigen aan te geven en dan gewoonlijk vertaald door last. In de zeventiende eeuw rekende de Compagnie een kojang op 23 pikol; later liep dat op tot 32 pikol. T2: last van 30 pikol, circa 1500-2000 kilogram. Maleis.		(Kooijmans and Schooneveld-Oosterling 2000, 63)
SU_0020	Cojang	Gewichtseenheid, 1 koyang rijst is ongeveer 1750 kilo, in Batavia was het 27-28 pikol; varieerde per regio en type product, in het algemeen 3500 Hollandse ponden of 1700 kilo; voor zout was het 40 pikul of 2.420 kilo, in de 17e eeuw de VOC berekende 1 koyang voor 23 pikul, later 32 pikul. Gewicht van 30 pikul was ongeveer 1500-2000 kilogram.	Measure of weight, 1 koyang of rice is approximately 1750 kilograms, in Batavia it was 27-28 pikol; varied according to the area and the type of product, commonly about 3500 Dutch pounds or 1700 kilograms; for salt it was 40 pikul or 2420 kilograms, in the 17th century the VOC counted 1 koyang for 23 pikul, later 32 pikul. Weight of 30 pikul were approximately 1500 -2000 kilograms.	(Lohanda et al. 2018, 97)
